step	type	slot_values
0	policy	0.018718,0.063744,0.051222,0.009257,0.090578,0.064400
0	value	0.003689,0.111363,0.028793,0.000479,0.143370,0.307915
1	policy	0.013298,0.048444,0.054393,0.009842,0.071672,0.057538
1	value	0.001922,0.058037,0.019964,0.000489,0.072187,0.445781
2	policy	0.010883,0.049065,0.053307,0.009736,0.057337,0.251374
2	value	0.001509,0.057519,0.018662,0.000549,0.069774,0.836048
3	policy	0.009492,0.118554,0.047126,0.009899,0.048049,0.516447
3	value	0.001432,0.249640,0.015395,0.000528,0.063687,0.923846
